id,name,email,dept,system,dept_name
0GNVMPUZ2CKV76NUE,Joseph Hart,evelyn03@example.com,AAPL,KLSE,Apple
0GNVMPUZ2CKV76NUE,Joseph Hart,evelyn03@example.com,AAPL,NASDAQ,Apple
0GNVMPUZ2CKV76NUE,Joseph Hart,evelyn03@example.com,AAPL,NYSE,Apple
0GNVMPUZ2CKV76NUE,Joseph Hart,evelyn03@example.com,AAPL,SGX,Apple
0GNVMPUZ2CKV76NUE,Joseph Hart,evelyn03@example.com,AAPL,HKEX,Apple
GMZ2CV7G4CXVZGPYX,Kathy Smith,hernandezdavid@example.net,AAPL,KLSE,Apple
GMZ2CV7G4CXVZGPYX,Kathy Smith,hernandezdavid@example.net,AAPL,NASDAQ,Apple
GMZ2CV7G4CXVZGPYX,Kathy Smith,hernandezdavid@example.net,AAPL,NYSE,Apple
GMZ2CV7G4CXVZGPYX,Kathy Smith,hernandezdavid@example.net,AAPL,SGX,Apple
GMZ2CV7G4CXVZGPYX,Kathy Smith,hernandezdavid@example.net,AAPL,HKEX,Apple
GMZ2CV7G4CXVZGPYX,Kathy Smith,hernandezdavid@example.net,AAPL,LSE,Apple
MDKZ56TW1YSN9N9ZN,Angela Palmer,travisandrews@example.org,AAPL,KLSE,Apple
MDKZ56TW1YSN9N9ZN,Angela Palmer,travisandrews@example.org,AAPL,NASDAQ,Apple
MDKZ56TW1YSN9N9ZN,Angela Palmer,travisandrews@example.org,AAPL,NYSE,Apple
MDKZ56TW1YSN9N9ZN,Angela Palmer,travisandrews@example.org,AAPL,SGX,Apple
MDKZ56TW1YSN9N9ZN,Angela Palmer,travisandrews@example.org,AAPL,HKEX,Apple
MDKZ56TW1YSN9N9ZN,Angela Palmer,travisandrews@example.org,AAPL,LSE,Apple
MDKZ56TW1YSN9N9ZN,Angela Palmer,travisandrews@example.org,AAPL,TSE,Apple
MDKZ56TW1YSN9N9ZN,Angela Palmer,travisandrews@example.org,AAPL,SSE,Apple
MFGR5SND5CJ66NSRJ,Ryan Alvarado,kfox@example.org,AAPL,KLSE,Apple
MFGR5SND5CJ66NSRJ,Ryan Alvarado,kfox@example.org,AAPL,NASDAQ,Apple
MFGR5SND5CJ66NSRJ,Ryan Alvarado,kfox@example.org,AAPL,NYSE,Apple
50A0ZD0N21T4VFZ1C,Donald Johnson,pjackson@example.org,AAPL,KLSE,Apple
50A0ZD0N21T4VFZ1C,Donald Johnson,pjackson@example.org,AAPL,NASDAQ,Apple
50A0ZD0N21T4VFZ1C,Donald Johnson,pjackson@example.org,AAPL,NYSE,Apple
50A0ZD0N21T4VFZ1C,Donald Johnson,pjackson@example.org,AAPL,SGX,Apple
50A0ZD0N21T4VFZ1C,Donald Johnson,pjackson@example.org,AAPL,HKEX,Apple
50A0ZD0N21T4VFZ1C,Donald Johnson,pjackson@example.org,AAPL,LSE,Apple
50A0ZD0N21T4VFZ1C,Donald Johnson,pjackson@example.org,AAPL,TSE,Apple
J2BGAUU67XRHYWBT4,James Clark,iherring@example.com,AAPL,KLSE,Apple
J2BGAUU67XRHYWBT4,James Clark,iherring@example.com,AAPL,NASDAQ,Apple
J2BGAUU67XRHYWBT4,James Clark,iherring@example.com,AAPL,NYSE,Apple
HFN9U91F0UNZYNHMM,Cindy Maxwell,peter31@example.com,AAPL,KLSE,Apple
HFN9U91F0UNZYNHMM,Cindy Maxwell,peter31@example.com,AAPL,NASDAQ,Apple
HFN9U91F0UNZYNHMM,Cindy Maxwell,peter31@example.com,AAPL,NYSE,Apple
WL8AFBJ368GC1S7VV,Betty Davis,stoutronald@example.net,AAPL,KLSE,Apple
WL8AFBJ368GC1S7VV,Betty Davis,stoutronald@example.net,AAPL,NASDAQ,Apple
WL8AFBJ368GC1S7VV,Betty Davis,stoutronald@example.net,AAPL,NYSE,Apple
WL8AFBJ368GC1S7VV,Betty Davis,stoutronald@example.net,AAPL,SGX,Apple
WL8AFBJ368GC1S7VV,Betty Davis,stoutronald@example.net,AAPL,HKEX,Apple
WL8AFBJ368GC1S7VV,Betty Davis,stoutronald@example.net,AAPL,LSE,Apple
WL8AFBJ368GC1S7VV,Betty Davis,stoutronald@example.net,AAPL,TSE,Apple
172NSZXP28VZCXCFB,Mrs. Kelli Hernandez,careyamber@example.com,AAPL,KLSE,Apple
172NSZXP28VZCXCFB,Mrs. Kelli Hernandez,careyamber@example.com,AAPL,NASDAQ,Apple
172NSZXP28VZCXCFB,Mrs. Kelli Hernandez,careyamber@example.com,AAPL,NYSE,Apple
172NSZXP28VZCXCFB,Mrs. Kelli Hernandez,careyamber@example.com,AAPL,SGX,Apple
DB2NXPUS1MH80UTYP,Sarah Johnston,heather27@example.org,AAPL,KLSE,Apple
DB2NXPUS1MH80UTYP,Sarah Johnston,heather27@example.org,AAPL,NASDAQ,Apple
DB2NXPUS1MH80UTYP,Sarah Johnston,heather27@example.org,AAPL,NYSE,Apple
DB2NXPUS1MH80UTYP,Sarah Johnston,heather27@example.org,AAPL,SGX,Apple
DB2NXPUS1MH80UTYP,Sarah Johnston,heather27@example.org,AAPL,HKEX,Apple
DB2NXPUS1MH80UTYP,Sarah Johnston,heather27@example.org,AAPL,LSE,Apple
DB2NXPUS1MH80UTYP,Sarah Johnston,heather27@example.org,AAPL,TSE,Apple
24P4ZDHT2NWHH1NDD,Valerie Chandler,tharris@example.org,AAPL,KLSE,Apple
24P4ZDHT2NWHH1NDD,Valerie Chandler,tharris@example.org,AAPL,NASDAQ,Apple
24P4ZDHT2NWHH1NDD,Valerie Chandler,tharris@example.org,AAPL,NYSE,Apple
24P4ZDHT2NWHH1NDD,Valerie Chandler,tharris@example.org,AAPL,SGX,Apple
24P4ZDHT2NWHH1NDD,Valerie Chandler,tharris@example.org,AAPL,HKEX,Apple
X2T8170G2JC4E95YT,Brittany Baker,lisaburton@example.org,AAPL,KLSE,Apple
XYB0RG5G24YSEBBU9,Austin Horn,ubond@example.net,AAPL,KLSE,Apple
XYB0RG5G24YSEBBU9,Austin Horn,ubond@example.net,AAPL,NASDAQ,Apple
XYB0RG5G24YSEBBU9,Austin Horn,ubond@example.net,AAPL,NYSE,Apple
XYB0RG5G24YSEBBU9,Austin Horn,ubond@example.net,AAPL,SGX,Apple
XYB0RG5G24YSEBBU9,Austin Horn,ubond@example.net,AAPL,HKEX,Apple
XYB0RG5G24YSEBBU9,Austin Horn,ubond@example.net,AAPL,LSE,Apple
XYB0RG5G24YSEBBU9,Austin Horn,ubond@example.net,AAPL,TSE,Apple
XYB0RG5G24YSEBBU9,Austin Horn,ubond@example.net,AAPL,SSE,Apple
XYB0RG5G24YSEBBU9,Austin Horn,ubond@example.net,AAPL,BSE,Apple
CYHJCVCP88DH6FDPS,James Mcbride,martinrichard@example.com,AAPL,KLSE,Apple
CYHJCVCP88DH6FDPS,James Mcbride,martinrichard@example.com,AAPL,NASDAQ,Apple
CYHJCVCP88DH6FDPS,James Mcbride,martinrichard@example.com,AAPL,NYSE,Apple
CYHJCVCP88DH6FDPS,James Mcbride,martinrichard@example.com,AAPL,SGX,Apple
CYHJCVCP88DH6FDPS,James Mcbride,martinrichard@example.com,AAPL,HKEX,Apple
CYHJCVCP88DH6FDPS,James Mcbride,martinrichard@example.com,AAPL,LSE,Apple
CYHJCVCP88DH6FDPS,James Mcbride,martinrichard@example.com,AAPL,TSE,Apple
CYHJCVCP88DH6FDPS,James Mcbride,martinrichard@example.com,AAPL,SSE,Apple
CYHJCVCP88DH6FDPS,James Mcbride,martinrichard@example.com,AAPL,BSE,Apple
0VMR6LR435T0XHACR,Eric Long,lisahurst@example.com,AAPL,KLSE,Apple
0VMR6LR435T0XHACR,Eric Long,lisahurst@example.com,AAPL,NASDAQ,Apple
