id,name,email,dept,system,dept_name
2RV556J82755K7J3W,Marvin Jones,wallacerichard@example.net,BYND,KLSE,Beyond Meat
2RV556J82755K7J3W,Marvin Jones,wallacerichard@example.net,BYND,NASDAQ,Beyond Meat
2RV556J82755K7J3W,Marvin Jones,wallacerichard@example.net,BYND,NYSE,Beyond Meat
H0RT8LXY9EMGFAY9V,Shane Michael,oconnellmarco@example.com,BYND,KLSE,Beyond Meat
H0RT8LXY9EMGFAY9V,Shane Michael,oconnellmarco@example.com,BYND,NASDAQ,Beyond Meat
H0RT8LXY9EMGFAY9V,Shane Michael,oconnellmarco@example.com,BYND,NYSE,Beyond Meat
H0RT8LXY9EMGFAY9V,Shane Michael,oconnellmarco@example.com,BYND,SGX,Beyond Meat
H0RT8LXY9EMGFAY9V,Shane Michael,oconnellmarco@example.com,BYND,HKEX,Beyond Meat
H0RT8LXY9EMGFAY9V,Shane Michael,oconnellmarco@example.com,BYND,LSE,Beyond Meat
X6TKZKA37TA8650JS,Gabriel Lloyd,nealevan@example.org,BYND,KLSE,Beyond Meat
X6TKZKA37TA8650JS,Gabriel Lloyd,nealevan@example.org,BYND,NASDAQ,Beyond Meat
X6TKZKA37TA8650JS,Gabriel Lloyd,nealevan@example.org,BYND,NYSE,Beyond Meat
X6TKZKA37TA8650JS,Gabriel Lloyd,nealevan@example.org,BYND,SGX,Beyond Meat
X6TKZKA37TA8650JS,Gabriel Lloyd,nealevan@example.org,BYND,HKEX,Beyond Meat
X6TKZKA37TA8650JS,Gabriel Lloyd,nealevan@example.org,BYND,LSE,Beyond Meat
GV2D8T9V0B57ZD6CY,Thomas Strickland,deborahthompson@example.org,BYND,KLSE,Beyond Meat
GV2D8T9V0B57ZD6CY,Thomas Strickland,deborahthompson@example.org,BYND,NASDAQ,Beyond Meat
GV2D8T9V0B57ZD6CY,Thomas Strickland,deborahthompson@example.org,BYND,NYSE,Beyond Meat
GV2D8T9V0B57ZD6CY,Thomas Strickland,deborahthompson@example.org,BYND,SGX,Beyond Meat
GV2D8T9V0B57ZD6CY,Thomas Strickland,deborahthompson@example.org,BYND,HKEX,Beyond Meat
GV2D8T9V0B57ZD6CY,Thomas Strickland,deborahthompson@example.org,BYND,LSE,Beyond Meat
GV2D8T9V0B57ZD6CY,Thomas Strickland,deborahthompson@example.org,BYND,TSE,Beyond Meat
GV2D8T9V0B57ZD6CY,Thomas Strickland,deborahthompson@example.org,BYND,SSE,Beyond Meat
GV2D8T9V0B57ZD6CY,Thomas Strickland,deborahthompson@example.org,BYND,BSE,Beyond Meat
031B73JZ7AA0V2UP0,Dalton Hill,jonathan80@example.net,BYND,KLSE,Beyond Meat
031B73JZ7AA0V2UP0,Dalton Hill,jonathan80@example.net,BYND,NASDAQ,Beyond Meat
031B73JZ7AA0V2UP0,Dalton Hill,jonathan80@example.net,BYND,NYSE,Beyond Meat
031B73JZ7AA0V2UP0,Dalton Hill,jonathan80@example.net,BYND,SGX,Beyond Meat
031B73JZ7AA0V2UP0,Dalton Hill,jonathan80@example.net,BYND,HKEX,Beyond Meat
XDUCBEZ992WUJETCH,Garrett Reyes,sjohnson@example.org,BYND,KLSE,Beyond Meat
XDUCBEZ992WUJETCH,Garrett Reyes,sjohnson@example.org,BYND,NASDAQ,Beyond Meat
77JFN7KK0WRMCZX7F,Jamie Mcintosh,andrew29@example.net,BYND,KLSE,Beyond Meat
77JFN7KK0WRMCZX7F,Jamie Mcintosh,andrew29@example.net,BYND,NASDAQ,Beyond Meat
77JFN7KK0WRMCZX7F,Jamie Mcintosh,andrew29@example.net,BYND,NYSE,Beyond Meat
77JFN7KK0WRMCZX7F,Jamie Mcintosh,andrew29@example.net,BYND,SGX,Beyond Meat
77JFN7KK0WRMCZX7F,Jamie Mcintosh,andrew29@example.net,BYND,HKEX,Beyond Meat
T19T4ZFW9TK4MCFR9,Lauren Clements,sean90@example.com,BYND,KLSE,Beyond Meat
T19T4ZFW9TK4MCFR9,Lauren Clements,sean90@example.com,BYND,NASDAQ,Beyond Meat
T19T4ZFW9TK4MCFR9,Lauren Clements,sean90@example.com,BYND,NYSE,Beyond Meat
T19T4ZFW9TK4MCFR9,Lauren Clements,sean90@example.com,BYND,SGX,Beyond Meat
T19T4ZFW9TK4MCFR9,Lauren Clements,sean90@example.com,BYND,HKEX,Beyond Meat
T19T4ZFW9TK4MCFR9,Lauren Clements,sean90@example.com,BYND,LSE,Beyond Meat
5U758A092USMMLJ0S,Mary Moore,kellykelly@example.org,BYND,KLSE,Beyond Meat
5U758A092USMMLJ0S,Mary Moore,kellykelly@example.org,BYND,NASDAQ,Beyond Meat
5U758A092USMMLJ0S,Mary Moore,kellykelly@example.org,BYND,NYSE,Beyond Meat
5U758A092USMMLJ0S,Mary Moore,kellykelly@example.org,BYND,SGX,Beyond Meat
5U758A092USMMLJ0S,Mary Moore,kellykelly@example.org,BYND,HKEX,Beyond Meat
5U758A092USMMLJ0S,Mary Moore,kellykelly@example.org,BYND,LSE,Beyond Meat
2V8RBKZ1XV4CA7NZW,Linda Hill,robertsonalexandra@example.net,BYND,KLSE,Beyond Meat
2V8RBKZ1XV4CA7NZW,Linda Hill,robertsonalexandra@example.net,BYND,NASDAQ,Beyond Meat
2V8RBKZ1XV4CA7NZW,Linda Hill,robertsonalexandra@example.net,BYND,NYSE,Beyond Meat
NSM6SBXS5RYZAYBYG,Chad Gonzalez,eduardo02@example.com,BYND,KLSE,Beyond Meat
NSM6SBXS5RYZAYBYG,Chad Gonzalez,eduardo02@example.com,BYND,NASDAQ,Beyond Meat
NSM6SBXS5RYZAYBYG,Chad Gonzalez,eduardo02@example.com,BYND,NYSE,Beyond Meat
NSM6SBXS5RYZAYBYG,Chad Gonzalez,eduardo02@example.com,BYND,SGX,Beyond Meat
NSM6SBXS5RYZAYBYG,Chad Gonzalez,eduardo02@example.com,BYND,HKEX,Beyond Meat
YWTGRXAA5RGG5DV73,Karen Hill,patriciahodge@example.net,BYND,KLSE,Beyond Meat
H1L7YG3Z5H8FTJ1PF,Deborah Cole,dallen@example.org,BYND,KLSE,Beyond Meat
H1L7YG3Z5H8FTJ1PF,Deborah Cole,dallen@example.org,BYND,NASDAQ,Beyond Meat
H1L7YG3Z5H8FTJ1PF,Deborah Cole,dallen@example.org,BYND,NYSE,Beyond Meat
H1L7YG3Z5H8FTJ1PF,Deborah Cole,dallen@example.org,BYND,SGX,Beyond Meat
H1L7YG3Z5H8FTJ1PF,Deborah Cole,dallen@example.org,BYND,HKEX,Beyond Meat
H1L7YG3Z5H8FTJ1PF,Deborah Cole,dallen@example.org,BYND,LSE,Beyond Meat
B2X3GTUU2GAUABX20,Maria Villegas,ymurillo@example.com,BYND,KLSE,Beyond Meat
B2X3GTUU2GAUABX20,Maria Villegas,ymurillo@example.com,BYND,NASDAQ,Beyond Meat
B2X3GTUU2GAUABX20,Maria Villegas,ymurillo@example.com,BYND,NYSE,Beyond Meat
B2X3GTUU2GAUABX20,Maria Villegas,ymurillo@example.com,BYND,SGX,Beyond Meat
B2X3GTUU2GAUABX20,Maria Villegas,ymurillo@example.com,BYND,HKEX,Beyond Meat
B2X3GTUU2GAUABX20,Maria Villegas,ymurillo@example.com,BYND,LSE,Beyond Meat
B2X3GTUU2GAUABX20,Maria Villegas,ymurillo@example.com,BYND,TSE,Beyond Meat
B2X3GTUU2GAUABX20,Maria Villegas,ymurillo@example.com,BYND,SSE,Beyond Meat
2FNDYHGT302S23XXD,Sarah Johnson DDS,nburke@example.net,BYND,KLSE,Beyond Meat
2FNDYHGT302S23XXD,Sarah Johnson DDS,nburke@example.net,BYND,NASDAQ,Beyond Meat
2FNDYHGT302S23XXD,Sarah Johnson DDS,nburke@example.net,BYND,NYSE,Beyond Meat
2FNDYHGT302S23XXD,Sarah Johnson DDS,nburke@example.net,BYND,SGX,Beyond Meat
2FNDYHGT302S23XXD,Sarah Johnson DDS,nburke@example.net,BYND,HKEX,Beyond Meat
WP5RZPV200YSF2127,Terri Andrews,hcosta@example.org,BYND,KLSE,Beyond Meat
WP5RZPV200YSF2127,Terri Andrews,hcosta@example.org,BYND,NASDAQ,Beyond Meat
WP5RZPV200YSF2127,Terri Andrews,hcosta@example.org,BYND,NYSE,Beyond Meat
WP5RZPV200YSF2127,Terri Andrews,hcosta@example.org,BYND,SGX,Beyond Meat
WP5RZPV200YSF2127,Terri Andrews,hcosta@example.org,BYND,HKEX,Beyond Meat
WP5RZPV200YSF2127,Terri Andrews,hcosta@example.org,BYND,LSE,Beyond Meat
WP5RZPV200YSF2127,Terri Andrews,hcosta@example.org,BYND,TSE,Beyond Meat
WP5RZPV200YSF2127,Terri Andrews,hcosta@example.org,BYND,SSE,Beyond Meat
WP5RZPV200YSF2127,Terri Andrews,hcosta@example.org,BYND,BSE,Beyond Meat
WL1YYV0B347ZGBG95,Mr. Edward Thomas PhD,norrissierra@example.org,BYND,KLSE,Beyond Meat
WL1YYV0B347ZGBG95,Mr. Edward Thomas PhD,norrissierra@example.org,BYND,NASDAQ,Beyond Meat
WL1YYV0B347ZGBG95,Mr. Edward Thomas PhD,norrissierra@example.org,BYND,NYSE,Beyond Meat
WL1YYV0B347ZGBG95,Mr. Edward Thomas PhD,norrissierra@example.org,BYND,SGX,Beyond Meat
WL1YYV0B347ZGBG95,Mr. Edward Thomas PhD,norrissierra@example.org,BYND,HKEX,Beyond Meat
XHVNGRMW1M3DEMBUS,Lauren Jackson,davidcannon@example.net,BYND,KLSE,Beyond Meat
XHVNGRMW1M3DEMBUS,Lauren Jackson,davidcannon@example.net,BYND,NASDAQ,Beyond Meat
XHVNGRMW1M3DEMBUS,Lauren Jackson,davidcannon@example.net,BYND,NYSE,Beyond Meat
XHVNGRMW1M3DEMBUS,Lauren Jackson,davidcannon@example.net,BYND,SGX,Beyond Meat
XHVNGRMW1M3DEMBUS,Lauren Jackson,davidcannon@example.net,BYND,HKEX,Beyond Meat
XHVNGRMW1M3DEMBUS,Lauren Jackson,davidcannon@example.net,BYND,LSE,Beyond Meat
XHVNGRMW1M3DEMBUS,Lauren Jackson,davidcannon@example.net,BYND,TSE,Beyond Meat
XHVNGRMW1M3DEMBUS,Lauren Jackson,davidcannon@example.net,BYND,SSE,Beyond Meat
XHVNGRMW1M3DEMBUS,Lauren Jackson,davidcannon@example.net,BYND,BSE,Beyond Meat
0S7VA6CL3Y4SDPYR1,Sheila Young,websterjames@example.net,BYND,KLSE,Beyond Meat
0S7VA6CL3Y4SDPYR1,Sheila Young,websterjames@example.net,BYND,NASDAQ,Beyond Meat
0S7VA6CL3Y4SDPYR1,Sheila Young,websterjames@example.net,BYND,NYSE,Beyond Meat
0S7VA6CL3Y4SDPYR1,Sheila Young,websterjames@example.net,BYND,SGX,Beyond Meat
GL9Y8HX782C9VUYBE,Thomas Bright,alexandersmith@example.com,BYND,KLSE,Beyond Meat
GL9Y8HX782C9VUYBE,Thomas Bright,alexandersmith@example.com,BYND,NASDAQ,Beyond Meat
GL9Y8HX782C9VUYBE,Thomas Bright,alexandersmith@example.com,BYND,NYSE,Beyond Meat
HXBCR18N8NP3Y7NR3,Edward Randall,suzanne03@example.org,BYND,KLSE,Beyond Meat
HXBCR18N8NP3Y7NR3,Edward Randall,suzanne03@example.org,BYND,NASDAQ,Beyond Meat
HXBCR18N8NP3Y7NR3,Edward Randall,suzanne03@example.org,BYND,NYSE,Beyond Meat
HXBCR18N8NP3Y7NR3,Edward Randall,suzanne03@example.org,BYND,SGX,Beyond Meat
HXBCR18N8NP3Y7NR3,Edward Randall,suzanne03@example.org,BYND,HKEX,Beyond Meat
HXBCR18N8NP3Y7NR3,Edward Randall,suzanne03@example.org,BYND,LSE,Beyond Meat
HXBCR18N8NP3Y7NR3,Edward Randall,suzanne03@example.org,BYND,TSE,Beyond Meat
HXBCR18N8NP3Y7NR3,Edward Randall,suzanne03@example.org,BYND,SSE,Beyond Meat
HXBCR18N8NP3Y7NR3,Edward Randall,suzanne03@example.org,BYND,BSE,Beyond Meat
NU2CJPRU54L2T7C7D,Rodney Sutton,hsmith@example.net,BYND,KLSE,Beyond Meat
NU2CJPRU54L2T7C7D,Rodney Sutton,hsmith@example.net,BYND,NASDAQ,Beyond Meat
NU2CJPRU54L2T7C7D,Rodney Sutton,hsmith@example.net,BYND,NYSE,Beyond Meat
NU2CJPRU54L2T7C7D,Rodney Sutton,hsmith@example.net,BYND,SGX,Beyond Meat
NU2CJPRU54L2T7C7D,Rodney Sutton,hsmith@example.net,BYND,HKEX,Beyond Meat
NU2CJPRU54L2T7C7D,Rodney Sutton,hsmith@example.net,BYND,LSE,Beyond Meat
NU2CJPRU54L2T7C7D,Rodney Sutton,hsmith@example.net,BYND,TSE,Beyond Meat
3FVDJ7SK9U0MZKR8U,Leah Mccoy,joshua73@example.org,BYND,KLSE,Beyond Meat
7WGLHE9G8PDXS5L2P,Andrew Hall,zcook@example.com,BYND,KLSE,Beyond Meat
7WGLHE9G8PDXS5L2P,Andrew Hall,zcook@example.com,BYND,NASDAQ,Beyond Meat
7WGLHE9G8PDXS5L2P,Andrew Hall,zcook@example.com,BYND,NYSE,Beyond Meat
WS1HJLEL7F3BLPKWH,Benjamin Vance,hornwilliam@example.com,BYND,KLSE,Beyond Meat
WS1HJLEL7F3BLPKWH,Benjamin Vance,hornwilliam@example.com,BYND,NASDAQ,Beyond Meat
WS1HJLEL7F3BLPKWH,Benjamin Vance,hornwilliam@example.com,BYND,NYSE,Beyond Meat
WS1HJLEL7F3BLPKWH,Benjamin Vance,hornwilliam@example.com,BYND,SGX,Beyond Meat
WS1HJLEL7F3BLPKWH,Benjamin Vance,hornwilliam@example.com,BYND,HKEX,Beyond Meat
WS1HJLEL7F3BLPKWH,Benjamin Vance,hornwilliam@example.com,BYND,LSE,Beyond Meat
WS1HJLEL7F3BLPKWH,Benjamin Vance,hornwilliam@example.com,BYND,TSE,Beyond Meat
WS1HJLEL7F3BLPKWH,Benjamin Vance,hornwilliam@example.com,BYND,SSE,Beyond Meat
2Y8Y06UG0FS49ML3A,Tammy Smith,vkim@example.net,BYND,KLSE,Beyond Meat
2Y8Y06UG0FS49ML3A,Tammy Smith,vkim@example.net,BYND,NASDAQ,Beyond Meat
2Y8Y06UG0FS49ML3A,Tammy Smith,vkim@example.net,BYND,NYSE,Beyond Meat
2Y8Y06UG0FS49ML3A,Tammy Smith,vkim@example.net,BYND,SGX,Beyond Meat
2Y8Y06UG0FS49ML3A,Tammy Smith,vkim@example.net,BYND,HKEX,Beyond Meat
2Y8Y06UG0FS49ML3A,Tammy Smith,vkim@example.net,BYND,LSE,Beyond Meat
2Y8Y06UG0FS49ML3A,Tammy Smith,vkim@example.net,BYND,TSE,Beyond Meat
2Y8Y06UG0FS49ML3A,Tammy Smith,vkim@example.net,BYND,SSE,Beyond Meat
JDY7H0R82ED1U7UHE,Mark Campbell,garciarebecca@example.org,BYND,KLSE,Beyond Meat
JDY7H0R82ED1U7UHE,Mark Campbell,garciarebecca@example.org,BYND,NASDAQ,Beyond Meat
JDY7H0R82ED1U7UHE,Mark Campbell,garciarebecca@example.org,BYND,NYSE,Beyond Meat
KRW2AHF83WEPDYTW8,William Reese,arroyomary@example.org,BYND,KLSE,Beyond Meat
KRW2AHF83WEPDYTW8,William Reese,arroyomary@example.org,BYND,NASDAQ,Beyond Meat
KRW2AHF83WEPDYTW8,William Reese,arroyomary@example.org,BYND,NYSE,Beyond Meat
6Y2UFLR10ET2KF6R6,Jeffrey Ramos,keith42@example.org,BYND,KLSE,Beyond Meat
6Y2UFLR10ET2KF6R6,Jeffrey Ramos,keith42@example.org,BYND,NASDAQ,Beyond Meat
6Y2UFLR10ET2KF6R6,Jeffrey Ramos,keith42@example.org,BYND,NYSE,Beyond Meat
6Y2UFLR10ET2KF6R6,Jeffrey Ramos,keith42@example.org,BYND,SGX,Beyond Meat
6Y2UFLR10ET2KF6R6,Jeffrey Ramos,keith42@example.org,BYND,HKEX,Beyond Meat
8AE4NZGX9SLXSVSS0,Kristen Hubbard,ericchase@example.org,BYND,KLSE,Beyond Meat
8AE4NZGX9SLXSVSS0,Kristen Hubbard,ericchase@example.org,BYND,NASDAQ,Beyond Meat
8AE4NZGX9SLXSVSS0,Kristen Hubbard,ericchase@example.org,BYND,NYSE,Beyond Meat
8AE4NZGX9SLXSVSS0,Kristen Hubbard,ericchase@example.org,BYND,SGX,Beyond Meat
8AE4NZGX9SLXSVSS0,Kristen Hubbard,ericchase@example.org,BYND,HKEX,Beyond Meat
8AE4NZGX9SLXSVSS0,Kristen Hubbard,ericchase@example.org,BYND,LSE,Beyond Meat
