id,name,email,dept,system,dept_name
XJSR1SLP8RKHFKZBW,Lauren Davis,mitchell93@example.com,MSFT,KLSE,Microsoft
XJSR1SLP8RKHFKZBW,Lauren Davis,mitchell93@example.com,MSFT,NASDAQ,Microsoft
XJSR1SLP8RKHFKZBW,Lauren Davis,mitchell93@example.com,MSFT,NYSE,Microsoft
XJSR1SLP8RKHFKZBW,Lauren Davis,mitchell93@example.com,MSFT,SGX,Microsoft
XJSR1SLP8RKHFKZBW,Lauren Davis,mitchell93@example.com,MSFT,HKEX,Microsoft
XJSR1SLP8RKHFKZBW,Lauren Davis,mitchell93@example.com,MSFT,LSE,Microsoft
XJSR1SLP8RKHFKZBW,Lauren Davis,mitchell93@example.com,MSFT,TSE,Microsoft
G5LJ0DFP1CNNCH9FM,Mary Romero,ckelly@example.org,MSFT,KLSE,Microsoft
G5LJ0DFP1CNNCH9FM,Mary Romero,ckelly@example.org,MSFT,NASDAQ,Microsoft
CM95FV6K3CB66L47J,Ashley Mcguire,jasonaguirre@example.net,MSFT,KLSE,Microsoft
CM95FV6K3CB66L47J,Ashley Mcguire,jasonaguirre@example.net,MSFT,NASDAQ,Microsoft
CM95FV6K3CB66L47J,Ashley Mcguire,jasonaguirre@example.net,MSFT,NYSE,Microsoft
CM95FV6K3CB66L47J,Ashley Mcguire,jasonaguirre@example.net,MSFT,SGX,Microsoft
CM95FV6K3CB66L47J,Ashley Mcguire,jasonaguirre@example.net,MSFT,HKEX,Microsoft
CM95FV6K3CB66L47J,Ashley Mcguire,jasonaguirre@example.net,MSFT,LSE,Microsoft
CM95FV6K3CB66L47J,Ashley Mcguire,jasonaguirre@example.net,MSFT,TSE,Microsoft
CM95FV6K3CB66L47J,Ashley Mcguire,jasonaguirre@example.net,MSFT,SSE,Microsoft
CM95FV6K3CB66L47J,Ashley Mcguire,jasonaguirre@example.net,MSFT,BSE,Microsoft
HS0ZNGC53XARPJ8AR,Brenda Melton,clarkeric@example.net,MSFT,KLSE,Microsoft
HS0ZNGC53XARPJ8AR,Brenda Melton,clarkeric@example.net,MSFT,NASDAQ,Microsoft
HS0ZNGC53XARPJ8AR,Brenda Melton,clarkeric@example.net,MSFT,NYSE,Microsoft
E5SY9PK426B09RB8J,Amanda Howard,pwilliams@example.org,MSFT,KLSE,Microsoft
E5SY9PK426B09RB8J,Amanda Howard,pwilliams@example.org,MSFT,NASDAQ,Microsoft
E5SY9PK426B09RB8J,Amanda Howard,pwilliams@example.org,MSFT,NYSE,Microsoft
E5SY9PK426B09RB8J,Amanda Howard,pwilliams@example.org,MSFT,SGX,Microsoft
E5SY9PK426B09RB8J,Amanda Howard,pwilliams@example.org,MSFT,HKEX,Microsoft
E5SY9PK426B09RB8J,Amanda Howard,pwilliams@example.org,MSFT,LSE,Microsoft
E5SY9PK426B09RB8J,Amanda Howard,pwilliams@example.org,MSFT,TSE,Microsoft
N08ZJSCV8SG0GRSBU,Tara Martinez,wendy83@example.net,MSFT,KLSE,Microsoft
N08ZJSCV8SG0GRSBU,Tara Martinez,wendy83@example.net,MSFT,NASDAQ,Microsoft
N08ZJSCV8SG0GRSBU,Tara Martinez,wendy83@example.net,MSFT,NYSE,Microsoft
N08ZJSCV8SG0GRSBU,Tara Martinez,wendy83@example.net,MSFT,SGX,Microsoft
N08ZJSCV8SG0GRSBU,Tara Martinez,wendy83@example.net,MSFT,HKEX,Microsoft
HZ1UNJR46ULK5WFE3,Jeremy Campbell,josephsmith@example.net,MSFT,KLSE,Microsoft
HZ1UNJR46ULK5WFE3,Jeremy Campbell,josephsmith@example.net,MSFT,NASDAQ,Microsoft
HZ1UNJR46ULK5WFE3,Jeremy Campbell,josephsmith@example.net,MSFT,NYSE,Microsoft
HZ1UNJR46ULK5WFE3,Jeremy Campbell,josephsmith@example.net,MSFT,SGX,Microsoft
15KK0MN85P7MJ75XY,Sarah Grant,kennethberry@example.org,MSFT,KLSE,Microsoft
15KK0MN85P7MJ75XY,Sarah Grant,kennethberry@example.org,MSFT,NASDAQ,Microsoft
15KK0MN85P7MJ75XY,Sarah Grant,kennethberry@example.org,MSFT,NYSE,Microsoft
15KK0MN85P7MJ75XY,Sarah Grant,kennethberry@example.org,MSFT,SGX,Microsoft
15KK0MN85P7MJ75XY,Sarah Grant,kennethberry@example.org,MSFT,HKEX,Microsoft
15KK0MN85P7MJ75XY,Sarah Grant,kennethberry@example.org,MSFT,LSE,Microsoft
15KK0MN85P7MJ75XY,Sarah Grant,kennethberry@example.org,MSFT,TSE,Microsoft
BKP1BU623URD02D4U,Katherine Herman,emily86@example.com,MSFT,KLSE,Microsoft
BKP1BU623URD02D4U,Katherine Herman,emily86@example.com,MSFT,NASDAQ,Microsoft
BKP1BU623URD02D4U,Katherine Herman,emily86@example.com,MSFT,NYSE,Microsoft
BKP1BU623URD02D4U,Katherine Herman,emily86@example.com,MSFT,SGX,Microsoft
BKP1BU623URD02D4U,Katherine Herman,emily86@example.com,MSFT,HKEX,Microsoft
BKP1BU623URD02D4U,Katherine Herman,emily86@example.com,MSFT,LSE,Microsoft
BKP1BU623URD02D4U,Katherine Herman,emily86@example.com,MSFT,TSE,Microsoft
BKP1BU623URD02D4U,Katherine Herman,emily86@example.com,MSFT,SSE,Microsoft
BKP1BU623URD02D4U,Katherine Herman,emily86@example.com,MSFT,BSE,Microsoft
FLSK6SLL1UZZVSRA6,Matthew Beltran,mwallace@example.net,MSFT,KLSE,Microsoft
FLSK6SLL1UZZVSRA6,Matthew Beltran,mwallace@example.net,MSFT,NASDAQ,Microsoft
FLSK6SLL1UZZVSRA6,Matthew Beltran,mwallace@example.net,MSFT,NYSE,Microsoft
FLSK6SLL1UZZVSRA6,Matthew Beltran,mwallace@example.net,MSFT,SGX,Microsoft
430LUKW08YYKMMF9J,Kathryn Bailey,marystuart@example.org,MSFT,KLSE,Microsoft
430LUKW08YYKMMF9J,Kathryn Bailey,marystuart@example.org,MSFT,NASDAQ,Microsoft
430LUKW08YYKMMF9J,Kathryn Bailey,marystuart@example.org,MSFT,NYSE,Microsoft
430LUKW08YYKMMF9J,Kathryn Bailey,marystuart@example.org,MSFT,SGX,Microsoft
430LUKW08YYKMMF9J,Kathryn Bailey,marystuart@example.org,MSFT,HKEX,Microsoft
430LUKW08YYKMMF9J,Kathryn Bailey,marystuart@example.org,MSFT,LSE,Microsoft
430LUKW08YYKMMF9J,Kathryn Bailey,marystuart@example.org,MSFT,TSE,Microsoft
430LUKW08YYKMMF9J,Kathryn Bailey,marystuart@example.org,MSFT,SSE,Microsoft
430LUKW08YYKMMF9J,Kathryn Bailey,marystuart@example.org,MSFT,BSE,Microsoft
B8NWKEUT7UT77WH8L,Yolanda Davis,annefox@example.com,MSFT,KLSE,Microsoft
B8NWKEUT7UT77WH8L,Yolanda Davis,annefox@example.com,MSFT,NASDAQ,Microsoft
