id,name,email,dept,system,dept_name
FJ1MTRS84YJD06RB8,Jamie Chavez,stephanie94@example.org,FB,KLSE,Facebook
FM58U1XH1Y5NJGA7J,Clinton Miller,jenniferzamora@example.org,FB,KLSE,Facebook
FM58U1XH1Y5NJGA7J,Clinton Miller,jenniferzamora@example.org,FB,NASDAQ,Facebook
FM58U1XH1Y5NJGA7J,Clinton Miller,jenniferzamora@example.org,FB,NYSE,Facebook
FM58U1XH1Y5NJGA7J,Clinton Miller,jenniferzamora@example.org,FB,SGX,Facebook
FM58U1XH1Y5NJGA7J,Clinton Miller,jenniferzamora@example.org,FB,HKEX,Facebook
5SGDJA7096N1UB538,Brian Morris,jennifer80@example.com,FB,KLSE,Facebook
5SGDJA7096N1UB538,Brian Morris,jennifer80@example.com,FB,NASDAQ,Facebook
5SGDJA7096N1UB538,Brian Morris,jennifer80@example.com,FB,NYSE,Facebook
5SGDJA7096N1UB538,Brian Morris,jennifer80@example.com,FB,SGX,Facebook
5SGDJA7096N1UB538,Brian Morris,jennifer80@example.com,FB,HKEX,Facebook
5SGDJA7096N1UB538,Brian Morris,jennifer80@example.com,FB,LSE,Facebook
5SGDJA7096N1UB538,Brian Morris,jennifer80@example.com,FB,TSE,Facebook
5SGDJA7096N1UB538,Brian Morris,jennifer80@example.com,FB,SSE,Facebook
20TA7JAS0RMRAAYNB,Susan Ewing,matthewpowers@example.org,FB,KLSE,Facebook
20TA7JAS0RMRAAYNB,Susan Ewing,matthewpowers@example.org,FB,NASDAQ,Facebook
C7H7UW5X1YVJ15LMD,Sarah Garcia,dan35@example.com,FB,KLSE,Facebook
C7H7UW5X1YVJ15LMD,Sarah Garcia,dan35@example.com,FB,NASDAQ,Facebook
A7Z557BD3GBDWTXBD,Chelsea Arellano,znewman@example.net,FB,KLSE,Facebook
A7Z557BD3GBDWTXBD,Chelsea Arellano,znewman@example.net,FB,NASDAQ,Facebook
A7Z557BD3GBDWTXBD,Chelsea Arellano,znewman@example.net,FB,NYSE,Facebook
A7Z557BD3GBDWTXBD,Chelsea Arellano,znewman@example.net,FB,SGX,Facebook
A7Z557BD3GBDWTXBD,Chelsea Arellano,znewman@example.net,FB,HKEX,Facebook
A7Z557BD3GBDWTXBD,Chelsea Arellano,znewman@example.net,FB,LSE,Facebook
3J5B4N617GGNEYJX4,Amanda Schultz,asimpson@example.com,FB,KLSE,Facebook
3J5B4N617GGNEYJX4,Amanda Schultz,asimpson@example.com,FB,NASDAQ,Facebook
3J5B4N617GGNEYJX4,Amanda Schultz,asimpson@example.com,FB,NYSE,Facebook
3J5B4N617GGNEYJX4,Amanda Schultz,asimpson@example.com,FB,SGX,Facebook
G567CAFX1N009CB2V,Kara Nixon,brandonsmith@example.com,FB,KLSE,Facebook
G567CAFX1N009CB2V,Kara Nixon,brandonsmith@example.com,FB,NASDAQ,Facebook
B4ATM8G2XLT0FCAP4,Brandi Reed,beverlytran@example.org,FB,KLSE,Facebook
B4ATM8G2XLT0FCAP4,Brandi Reed,beverlytran@example.org,FB,NASDAQ,Facebook
488YT72865W1R74T8,Tyler Collins,kevans@example.org,FB,KLSE,Facebook
488YT72865W1R74T8,Tyler Collins,kevans@example.org,FB,NASDAQ,Facebook
488YT72865W1R74T8,Tyler Collins,kevans@example.org,FB,NYSE,Facebook
488YT72865W1R74T8,Tyler Collins,kevans@example.org,FB,SGX,Facebook
