id,name,email,dept,system,dept_name
6DV4XR9K7RZ1ZS3YW,Timothy Estes,sarahburnett@example.net,AMZN,KLSE,Amazon
6DV4XR9K7RZ1ZS3YW,Timothy Estes,sarahburnett@example.net,AMZN,NASDAQ,Amazon
6DV4XR9K7RZ1ZS3YW,Timothy Estes,sarahburnett@example.net,AMZN,NYSE,Amazon
6DV4XR9K7RZ1ZS3YW,Timothy Estes,sarahburnett@example.net,AMZN,SGX,Amazon
6DV4XR9K7RZ1ZS3YW,Timothy Estes,sarahburnett@example.net,AMZN,HKEX,Amazon
ZA8FV3U5XAX45JRPN,Susan Byrd,cynthia12@example.net,AMZN,KLSE,Amazon
ZA8FV3U5XAX45JRPN,Susan Byrd,cynthia12@example.net,AMZN,NASDAQ,Amazon
ZA8FV3U5XAX45JRPN,Susan Byrd,cynthia12@example.net,AMZN,NYSE,Amazon
ZA8FV3U5XAX45JRPN,Susan Byrd,cynthia12@example.net,AMZN,SGX,Amazon
ZA8FV3U5XAX45JRPN,Susan Byrd,cynthia12@example.net,AMZN,HKEX,Amazon
N2T7VUCL6D5D8YJ1C,Tammy Martin,jasonhernandez@example.org,AMZN,KLSE,Amazon
N2T7VUCL6D5D8YJ1C,Tammy Martin,jasonhernandez@example.org,AMZN,NASDAQ,Amazon
N2T7VUCL6D5D8YJ1C,Tammy Martin,jasonhernandez@example.org,AMZN,NYSE,Amazon
N2T7VUCL6D5D8YJ1C,Tammy Martin,jasonhernandez@example.org,AMZN,SGX,Amazon
N2T7VUCL6D5D8YJ1C,Tammy Martin,jasonhernandez@example.org,AMZN,HKEX,Amazon
N2T7VUCL6D5D8YJ1C,Tammy Martin,jasonhernandez@example.org,AMZN,LSE,Amazon
N2T7VUCL6D5D8YJ1C,Tammy Martin,jasonhernandez@example.org,AMZN,TSE,Amazon
N2T7VUCL6D5D8YJ1C,Tammy Martin,jasonhernandez@example.org,AMZN,SSE,Amazon
ZB0JU99Y8YBZ2UC05,James Clark,scott47@example.org,AMZN,KLSE,Amazon
ZB0JU99Y8YBZ2UC05,James Clark,scott47@example.org,AMZN,NASDAQ,Amazon
ZB0JU99Y8YBZ2UC05,James Clark,scott47@example.org,AMZN,NYSE,Amazon
ZB0JU99Y8YBZ2UC05,James Clark,scott47@example.org,AMZN,SGX,Amazon
ZB0JU99Y8YBZ2UC05,James Clark,scott47@example.org,AMZN,HKEX,Amazon
ZB0JU99Y8YBZ2UC05,James Clark,scott47@example.org,AMZN,LSE,Amazon
VAPASHA38BCDHN5K0,Matthew Landry,rebeccapeters@example.org,AMZN,KLSE,Amazon
VAPASHA38BCDHN5K0,Matthew Landry,rebeccapeters@example.org,AMZN,NASDAQ,Amazon
VAPASHA38BCDHN5K0,Matthew Landry,rebeccapeters@example.org,AMZN,NYSE,Amazon
VAPASHA38BCDHN5K0,Matthew Landry,rebeccapeters@example.org,AMZN,SGX,Amazon
VAPASHA38BCDHN5K0,Matthew Landry,rebeccapeters@example.org,AMZN,HKEX,Amazon
VAPASHA38BCDHN5K0,Matthew Landry,rebeccapeters@example.org,AMZN,LSE,Amazon
VAPASHA38BCDHN5K0,Matthew Landry,rebeccapeters@example.org,AMZN,TSE,Amazon
VAPASHA38BCDHN5K0,Matthew Landry,rebeccapeters@example.org,AMZN,SSE,Amazon
VAPASHA38BCDHN5K0,Matthew Landry,rebeccapeters@example.org,AMZN,BSE,Amazon
C962ZCSN8C0ELGWBY,Dillon Marquez,rogerskristine@example.com,AMZN,KLSE,Amazon
C962ZCSN8C0ELGWBY,Dillon Marquez,rogerskristine@example.com,AMZN,NASDAQ,Amazon
C962ZCSN8C0ELGWBY,Dillon Marquez,rogerskristine@example.com,AMZN,NYSE,Amazon
C962ZCSN8C0ELGWBY,Dillon Marquez,rogerskristine@example.com,AMZN,SGX,Amazon
C962ZCSN8C0ELGWBY,Dillon Marquez,rogerskristine@example.com,AMZN,HKEX,Amazon
C962ZCSN8C0ELGWBY,Dillon Marquez,rogerskristine@example.com,AMZN,LSE,Amazon
C962ZCSN8C0ELGWBY,Dillon Marquez,rogerskristine@example.com,AMZN,TSE,Amazon
TW8DNLST59XB2NJKL,John Davis,stephen70@example.org,AMZN,KLSE,Amazon
TW8DNLST59XB2NJKL,John Davis,stephen70@example.org,AMZN,NASDAQ,Amazon
FME4ZBKV98A8J75S1,Susan Sanchez,michelevillarreal@example.com,AMZN,KLSE,Amazon
FME4ZBKV98A8J75S1,Susan Sanchez,michelevillarreal@example.com,AMZN,NASDAQ,Amazon
BZH0DYAA250DJ56DJ,Richard Hawkins,luis81@example.org,AMZN,KLSE,Amazon
BZH0DYAA250DJ56DJ,Richard Hawkins,luis81@example.org,AMZN,NASDAQ,Amazon
BZH0DYAA250DJ56DJ,Richard Hawkins,luis81@example.org,AMZN,NYSE,Amazon
0XZ59HYX6AC02CJAT,Kevin Harris,kristinnguyen@example.com,AMZN,KLSE,Amazon
0XZ59HYX6AC02CJAT,Kevin Harris,kristinnguyen@example.com,AMZN,NASDAQ,Amazon
