id,name,email,dept,system,dept_name
NFSZUW439WB8YV5ZG,Jerry Leon,alexandra49@example.com,NFLX,KLSE,Netflix
NFSZUW439WB8YV5ZG,Jerry Leon,alexandra49@example.com,NFLX,NASDAQ,Netflix
NFSZUW439WB8YV5ZG,Jerry Leon,alexandra49@example.com,NFLX,NYSE,Netflix
NFSZUW439WB8YV5ZG,Jerry Leon,alexandra49@example.com,NFLX,SGX,Netflix
NFSZUW439WB8YV5ZG,Jerry Leon,alexandra49@example.com,NFLX,HKEX,Netflix
0EXZLL4F5B25F8MU3,Kevin Ford,brenda76@example.net,NFLX,KLSE,Netflix
0EXZLL4F5B25F8MU3,Kevin Ford,brenda76@example.net,NFLX,NASDAQ,Netflix
KPJT5SWK8M1EEMH45,Jacqueline Spencer,olsenbradley@example.com,NFLX,KLSE,Netflix
KPJT5SWK8M1EEMH45,Jacqueline Spencer,olsenbradley@example.com,NFLX,NASDAQ,Netflix
KPJT5SWK8M1EEMH45,Jacqueline Spencer,olsenbradley@example.com,NFLX,NYSE,Netflix
KPJT5SWK8M1EEMH45,Jacqueline Spencer,olsenbradley@example.com,NFLX,SGX,Netflix
KPJT5SWK8M1EEMH45,Jacqueline Spencer,olsenbradley@example.com,NFLX,HKEX,Netflix
XD1819ZG7JFNSWE1M,Rebecca Ingram,melissa14@example.org,NFLX,KLSE,Netflix
XD1819ZG7JFNSWE1M,Rebecca Ingram,melissa14@example.org,NFLX,NASDAQ,Netflix
XD1819ZG7JFNSWE1M,Rebecca Ingram,melissa14@example.org,NFLX,NYSE,Netflix
KSKPGGNF3ABN6CLP2,Courtney Strong,victoria21@example.net,NFLX,KLSE,Netflix
KSKPGGNF3ABN6CLP2,Courtney Strong,victoria21@example.net,NFLX,NASDAQ,Netflix
KSKPGGNF3ABN6CLP2,Courtney Strong,victoria21@example.net,NFLX,NYSE,Netflix
FRFT6P10371RR3W74,Dennis Davis,mitchellewing@example.org,NFLX,KLSE,Netflix
FRFT6P10371RR3W74,Dennis Davis,mitchellewing@example.org,NFLX,NASDAQ,Netflix
FRFT6P10371RR3W74,Dennis Davis,mitchellewing@example.org,NFLX,NYSE,Netflix
FRFT6P10371RR3W74,Dennis Davis,mitchellewing@example.org,NFLX,SGX,Netflix
FRFT6P10371RR3W74,Dennis Davis,mitchellewing@example.org,NFLX,HKEX,Netflix
FRFT6P10371RR3W74,Dennis Davis,mitchellewing@example.org,NFLX,LSE,Netflix
FRFT6P10371RR3W74,Dennis Davis,mitchellewing@example.org,NFLX,TSE,Netflix
FRFT6P10371RR3W74,Dennis Davis,mitchellewing@example.org,NFLX,SSE,Netflix
5JSK3SA786ZZ9G5GX,Kristen Gentry,ericrichardson@example.org,NFLX,KLSE,Netflix
5JSK3SA786ZZ9G5GX,Kristen Gentry,ericrichardson@example.org,NFLX,NASDAQ,Netflix
5JSK3SA786ZZ9G5GX,Kristen Gentry,ericrichardson@example.org,NFLX,NYSE,Netflix
5JSK3SA786ZZ9G5GX,Kristen Gentry,ericrichardson@example.org,NFLX,SGX,Netflix
7RJXE2CH9PUD8TSBE,Steven Harris,markcaldwell@example.com,NFLX,KLSE,Netflix
7RJXE2CH9PUD8TSBE,Steven Harris,markcaldwell@example.com,NFLX,NASDAQ,Netflix
7RJXE2CH9PUD8TSBE,Steven Harris,markcaldwell@example.com,NFLX,NYSE,Netflix
7RJXE2CH9PUD8TSBE,Steven Harris,markcaldwell@example.com,NFLX,SGX,Netflix
7RJXE2CH9PUD8TSBE,Steven Harris,markcaldwell@example.com,NFLX,HKEX,Netflix
7RJXE2CH9PUD8TSBE,Steven Harris,markcaldwell@example.com,NFLX,LSE,Netflix
7RJXE2CH9PUD8TSBE,Steven Harris,markcaldwell@example.com,NFLX,TSE,Netflix
7RJXE2CH9PUD8TSBE,Steven Harris,markcaldwell@example.com,NFLX,SSE,Netflix
7RJXE2CH9PUD8TSBE,Steven Harris,markcaldwell@example.com,NFLX,BSE,Netflix
M4C9GM098DRD5V7YR,Karen Ward,cory46@example.com,NFLX,KLSE,Netflix
M4C9GM098DRD5V7YR,Karen Ward,cory46@example.com,NFLX,NASDAQ,Netflix
M4C9GM098DRD5V7YR,Karen Ward,cory46@example.com,NFLX,NYSE,Netflix
4Z0APBNZ8M7148ZH1,Whitney Martinez,shirleymyers@example.org,NFLX,KLSE,Netflix
4Z0APBNZ8M7148ZH1,Whitney Martinez,shirleymyers@example.org,NFLX,NASDAQ,Netflix
4Z0APBNZ8M7148ZH1,Whitney Martinez,shirleymyers@example.org,NFLX,NYSE,Netflix
4Z0APBNZ8M7148ZH1,Whitney Martinez,shirleymyers@example.org,NFLX,SGX,Netflix
4Z0APBNZ8M7148ZH1,Whitney Martinez,shirleymyers@example.org,NFLX,HKEX,Netflix
4Z0APBNZ8M7148ZH1,Whitney Martinez,shirleymyers@example.org,NFLX,LSE,Netflix
4Z0APBNZ8M7148ZH1,Whitney Martinez,shirleymyers@example.org,NFLX,TSE,Netflix
4Z0APBNZ8M7148ZH1,Whitney Martinez,shirleymyers@example.org,NFLX,SSE,Netflix
7LWAH1B585SVRCGTT,Randy Turner,charles11@example.com,NFLX,KLSE,Netflix
