id,name,email,dept,system,dept_name
WXZ3YMKF3BTWYP4HC,Jeffery Gilmore,llane@example.com,PINS,KLSE,Pinterest
F0HZMNLF2H8CH3S1T,Amy Oneal,kennedykrista@example.com,PINS,KLSE,Pinterest
GZ2MU1KF7W2F3RDK8,Erin Walls,martindonna@example.org,PINS,KLSE,Pinterest
GZ2MU1KF7W2F3RDK8,Erin Walls,martindonna@example.org,PINS,NASDAQ,Pinterest
GZ2MU1KF7W2F3RDK8,Erin Walls,martindonna@example.org,PINS,NYSE,Pinterest
0Y287BEC71KEE5C1G,Jim Spencer,peterschristopher@example.org,PINS,KLSE,Pinterest
0Y287BEC71KEE5C1G,Jim Spencer,peterschristopher@example.org,PINS,NASDAQ,Pinterest
0Y287BEC71KEE5C1G,Jim Spencer,peterschristopher@example.org,PINS,NYSE,Pinterest
0Y287BEC71KEE5C1G,Jim Spencer,peterschristopher@example.org,PINS,SGX,Pinterest
0Y287BEC71KEE5C1G,Jim Spencer,peterschristopher@example.org,PINS,HKEX,Pinterest
0Y287BEC71KEE5C1G,Jim Spencer,peterschristopher@example.org,PINS,LSE,Pinterest
0Y287BEC71KEE5C1G,Jim Spencer,peterschristopher@example.org,PINS,TSE,Pinterest
42S6AGFJ61DXKYGUD,Carolyn Woodward PhD,natalieharrell@example.org,PINS,KLSE,Pinterest
42S6AGFJ61DXKYGUD,Carolyn Woodward PhD,natalieharrell@example.org,PINS,NASDAQ,Pinterest
42S6AGFJ61DXKYGUD,Carolyn Woodward PhD,natalieharrell@example.org,PINS,NYSE,Pinterest
42S6AGFJ61DXKYGUD,Carolyn Woodward PhD,natalieharrell@example.org,PINS,SGX,Pinterest
42S6AGFJ61DXKYGUD,Carolyn Woodward PhD,natalieharrell@example.org,PINS,HKEX,Pinterest
VG0G6N458EMDS06H9,Sean Schwartz,davidvasquez@example.org,PINS,KLSE,Pinterest
DTVVY90B3D30628M9,Stephanie Rodriguez,kennethmercer@example.org,PINS,KLSE,Pinterest
DTVVY90B3D30628M9,Stephanie Rodriguez,kennethmercer@example.org,PINS,NASDAQ,Pinterest
DTVVY90B3D30628M9,Stephanie Rodriguez,kennethmercer@example.org,PINS,NYSE,Pinterest
DTVVY90B3D30628M9,Stephanie Rodriguez,kennethmercer@example.org,PINS,SGX,Pinterest
DTVVY90B3D30628M9,Stephanie Rodriguez,kennethmercer@example.org,PINS,HKEX,Pinterest
DXNLWSFJ5SJGJPESS,Sarah Murillo,adrianfloyd@example.org,PINS,KLSE,Pinterest
