id,name,email,dept,system,dept_name
F6XDLN7398ZA3P5AN,Jose Davis,agarcia@example.com,SHOP,KLSE,Shopify
F6XDLN7398ZA3P5AN,Jose Davis,agarcia@example.com,SHOP,NASDAQ,Shopify
F6XDLN7398ZA3P5AN,Jose Davis,agarcia@example.com,SHOP,NYSE,Shopify
F6XDLN7398ZA3P5AN,Jose Davis,agarcia@example.com,SHOP,SGX,Shopify
F6XDLN7398ZA3P5AN,Jose Davis,agarcia@example.com,SHOP,HKEX,Shopify
F6XDLN7398ZA3P5AN,Jose Davis,agarcia@example.com,SHOP,LSE,Shopify
F6XDLN7398ZA3P5AN,Jose Davis,agarcia@example.com,SHOP,TSE,Shopify
F6XDLN7398ZA3P5AN,Jose Davis,agarcia@example.com,SHOP,SSE,Shopify
STHD39K13TYHS93B4,Sylvia Lindsey,usingh@example.org,SHOP,KLSE,Shopify
STHD39K13TYHS93B4,Sylvia Lindsey,usingh@example.org,SHOP,NASDAQ,Shopify
STHD39K13TYHS93B4,Sylvia Lindsey,usingh@example.org,SHOP,NYSE,Shopify
STHD39K13TYHS93B4,Sylvia Lindsey,usingh@example.org,SHOP,SGX,Shopify
BXHWY3F88W6FGH8U6,John Tran,michaelrussell@example.net,SHOP,KLSE,Shopify
BXHWY3F88W6FGH8U6,John Tran,michaelrussell@example.net,SHOP,NASDAQ,Shopify
BXHWY3F88W6FGH8U6,John Tran,michaelrussell@example.net,SHOP,NYSE,Shopify
BXHWY3F88W6FGH8U6,John Tran,michaelrussell@example.net,SHOP,SGX,Shopify
BXHWY3F88W6FGH8U6,John Tran,michaelrussell@example.net,SHOP,HKEX,Shopify
BXHWY3F88W6FGH8U6,John Tran,michaelrussell@example.net,SHOP,LSE,Shopify
BXHWY3F88W6FGH8U6,John Tran,michaelrussell@example.net,SHOP,TSE,Shopify
BXHWY3F88W6FGH8U6,John Tran,michaelrussell@example.net,SHOP,SSE,Shopify
63A607JA9NF6FD5ND,Jennifer Lara DDS,lorijones@example.com,SHOP,KLSE,Shopify
63A607JA9NF6FD5ND,Jennifer Lara DDS,lorijones@example.com,SHOP,NASDAQ,Shopify
63A607JA9NF6FD5ND,Jennifer Lara DDS,lorijones@example.com,SHOP,NYSE,Shopify
63A607JA9NF6FD5ND,Jennifer Lara DDS,lorijones@example.com,SHOP,SGX,Shopify
TNKAFGR118EJNZ0HM,Stephen Oneal,natalieevans@example.net,SHOP,KLSE,Shopify
TNKAFGR118EJNZ0HM,Stephen Oneal,natalieevans@example.net,SHOP,NASDAQ,Shopify
TNKAFGR118EJNZ0HM,Stephen Oneal,natalieevans@example.net,SHOP,NYSE,Shopify
TNKAFGR118EJNZ0HM,Stephen Oneal,natalieevans@example.net,SHOP,SGX,Shopify
TNKAFGR118EJNZ0HM,Stephen Oneal,natalieevans@example.net,SHOP,HKEX,Shopify
TNKAFGR118EJNZ0HM,Stephen Oneal,natalieevans@example.net,SHOP,LSE,Shopify
TNKAFGR118EJNZ0HM,Stephen Oneal,natalieevans@example.net,SHOP,TSE,Shopify
V5W0UC026V25HV238,James Osborne,cameron16@example.com,SHOP,KLSE,Shopify
V5W0UC026V25HV238,James Osborne,cameron16@example.com,SHOP,NASDAQ,Shopify
V5W0UC026V25HV238,James Osborne,cameron16@example.com,SHOP,NYSE,Shopify
V5W0UC026V25HV238,James Osborne,cameron16@example.com,SHOP,SGX,Shopify
V5W0UC026V25HV238,James Osborne,cameron16@example.com,SHOP,HKEX,Shopify
RXT7VFE90RWTG67F7,Jason Benton,harold98@example.net,SHOP,KLSE,Shopify
RXT7VFE90RWTG67F7,Jason Benton,harold98@example.net,SHOP,NASDAQ,Shopify
RXT7VFE90RWTG67F7,Jason Benton,harold98@example.net,SHOP,NYSE,Shopify
RXT7VFE90RWTG67F7,Jason Benton,harold98@example.net,SHOP,SGX,Shopify
RXT7VFE90RWTG67F7,Jason Benton,harold98@example.net,SHOP,HKEX,Shopify
RXT7VFE90RWTG67F7,Jason Benton,harold98@example.net,SHOP,LSE,Shopify
81MG4VLX0ZA1KUTBJ,Christina Cisneros,hannahroberts@example.org,SHOP,KLSE,Shopify
81MG4VLX0ZA1KUTBJ,Christina Cisneros,hannahroberts@example.org,SHOP,NASDAQ,Shopify
81MG4VLX0ZA1KUTBJ,Christina Cisneros,hannahroberts@example.org,SHOP,NYSE,Shopify
81MG4VLX0ZA1KUTBJ,Christina Cisneros,hannahroberts@example.org,SHOP,SGX,Shopify
81MG4VLX0ZA1KUTBJ,Christina Cisneros,hannahroberts@example.org,SHOP,HKEX,Shopify
81MG4VLX0ZA1KUTBJ,Christina Cisneros,hannahroberts@example.org,SHOP,LSE,Shopify
81MG4VLX0ZA1KUTBJ,Christina Cisneros,hannahroberts@example.org,SHOP,TSE,Shopify
F0S0F2SD5UXA0CEK3,Kendra Turner,matthew46@example.org,SHOP,KLSE,Shopify
F0S0F2SD5UXA0CEK3,Kendra Turner,matthew46@example.org,SHOP,NASDAQ,Shopify
F0S0F2SD5UXA0CEK3,Kendra Turner,matthew46@example.org,SHOP,NYSE,Shopify
