id,name,email,dept,system,dept_name
ZAFV0AMF8YAR3U4Z1,Angie Brown,kbaker@example.com,SNAP,KLSE,Snapchat
ZAFV0AMF8YAR3U4Z1,Angie Brown,kbaker@example.com,SNAP,NASDAQ,Snapchat
ZAFV0AMF8YAR3U4Z1,Angie Brown,kbaker@example.com,SNAP,NYSE,Snapchat
ZAFV0AMF8YAR3U4Z1,Angie Brown,kbaker@example.com,SNAP,SGX,Snapchat
V7X6K2GX4B2C6N7MR,David Kent,iwiggins@example.com,SNAP,KLSE,Snapchat
V7X6K2GX4B2C6N7MR,David Kent,iwiggins@example.com,SNAP,NASDAQ,Snapchat
V7X6K2GX4B2C6N7MR,David Kent,iwiggins@example.com,SNAP,NYSE,Snapchat
V7X6K2GX4B2C6N7MR,David Kent,iwiggins@example.com,SNAP,SGX,Snapchat
V7X6K2GX4B2C6N7MR,David Kent,iwiggins@example.com,SNAP,HKEX,Snapchat
V7X6K2GX4B2C6N7MR,David Kent,iwiggins@example.com,SNAP,LSE,Snapchat
V7X6K2GX4B2C6N7MR,David Kent,iwiggins@example.com,SNAP,TSE,Snapchat
V7X6K2GX4B2C6N7MR,David Kent,iwiggins@example.com,SNAP,SSE,Snapchat
0N7P880R65DM7MLKX,Melissa Williams,tara60@example.com,SNAP,KLSE,Snapchat
0N7P880R65DM7MLKX,Melissa Williams,tara60@example.com,SNAP,NASDAQ,Snapchat
0N7P880R65DM7MLKX,Melissa Williams,tara60@example.com,SNAP,NYSE,Snapchat
S7500KCG8WCR8JTYM,Allison Fischer,jacquelinesanders@example.net,SNAP,KLSE,Snapchat
S7500KCG8WCR8JTYM,Allison Fischer,jacquelinesanders@example.net,SNAP,NASDAQ,Snapchat
S7500KCG8WCR8JTYM,Allison Fischer,jacquelinesanders@example.net,SNAP,NYSE,Snapchat
S7500KCG8WCR8JTYM,Allison Fischer,jacquelinesanders@example.net,SNAP,SGX,Snapchat
S7500KCG8WCR8JTYM,Allison Fischer,jacquelinesanders@example.net,SNAP,HKEX,Snapchat
S7500KCG8WCR8JTYM,Allison Fischer,jacquelinesanders@example.net,SNAP,LSE,Snapchat
S7500KCG8WCR8JTYM,Allison Fischer,jacquelinesanders@example.net,SNAP,TSE,Snapchat
S7500KCG8WCR8JTYM,Allison Fischer,jacquelinesanders@example.net,SNAP,SSE,Snapchat
S7500KCG8WCR8JTYM,Allison Fischer,jacquelinesanders@example.net,SNAP,BSE,Snapchat
