id,name,email,dept,system,dept_name
C90J2Y62XEH2ZE0UP,Brittany Carroll,benjamin26@example.com,SPOT,KLSE,Spotify
C90J2Y62XEH2ZE0UP,Brittany Carroll,benjamin26@example.com,SPOT,NASDAQ,Spotify
C90J2Y62XEH2ZE0UP,Brittany Carroll,benjamin26@example.com,SPOT,NYSE,Spotify
WTZTKVMU8FT986VDV,Monica Greene,calvinhardy@example.org,SPOT,KLSE,Spotify
WTZTKVMU8FT986VDV,Monica Greene,calvinhardy@example.org,SPOT,NASDAQ,Spotify
WTZTKVMU8FT986VDV,Monica Greene,calvinhardy@example.org,SPOT,NYSE,Spotify
WTZTKVMU8FT986VDV,Monica Greene,calvinhardy@example.org,SPOT,SGX,Spotify
WTZTKVMU8FT986VDV,Monica Greene,calvinhardy@example.org,SPOT,HKEX,Spotify
WTZTKVMU8FT986VDV,Monica Greene,calvinhardy@example.org,SPOT,LSE,Spotify
WTZTKVMU8FT986VDV,Monica Greene,calvinhardy@example.org,SPOT,TSE,Spotify
4677C1MP98D7HD0X9,Kathy Webster,karavelez@example.com,SPOT,KLSE,Spotify
4677C1MP98D7HD0X9,Kathy Webster,karavelez@example.com,SPOT,NASDAQ,Spotify
4677C1MP98D7HD0X9,Kathy Webster,karavelez@example.com,SPOT,NYSE,Spotify
4677C1MP98D7HD0X9,Kathy Webster,karavelez@example.com,SPOT,SGX,Spotify
4677C1MP98D7HD0X9,Kathy Webster,karavelez@example.com,SPOT,HKEX,Spotify
4677C1MP98D7HD0X9,Kathy Webster,karavelez@example.com,SPOT,LSE,Spotify
ESKUZ7C86YX4NW6ET,Edward Carlson,millermichael@example.org,SPOT,KLSE,Spotify
ESKUZ7C86YX4NW6ET,Edward Carlson,millermichael@example.org,SPOT,NASDAQ,Spotify
ESKUZ7C86YX4NW6ET,Edward Carlson,millermichael@example.org,SPOT,NYSE,Spotify
ESKUZ7C86YX4NW6ET,Edward Carlson,millermichael@example.org,SPOT,SGX,Spotify
ESKUZ7C86YX4NW6ET,Edward Carlson,millermichael@example.org,SPOT,HKEX,Spotify
ESKUZ7C86YX4NW6ET,Edward Carlson,millermichael@example.org,SPOT,LSE,Spotify
X8ARDK3GXP6PB3H5E,David Camacho,aaron07@example.org,SPOT,KLSE,Spotify
X8ARDK3GXP6PB3H5E,David Camacho,aaron07@example.org,SPOT,NASDAQ,Spotify
X8ARDK3GXP6PB3H5E,David Camacho,aaron07@example.org,SPOT,NYSE,Spotify
ELH0G6R72HK8F57EC,Brittany Perez,ryanpham@example.com,SPOT,KLSE,Spotify
ELH0G6R72HK8F57EC,Brittany Perez,ryanpham@example.com,SPOT,NASDAQ,Spotify
581JJKGKXN9S3RBA3,Anna Montes,katherinealvarez@example.org,SPOT,KLSE,Spotify
581JJKGKXN9S3RBA3,Anna Montes,katherinealvarez@example.org,SPOT,NASDAQ,Spotify
581JJKGKXN9S3RBA3,Anna Montes,katherinealvarez@example.org,SPOT,NYSE,Spotify
581JJKGKXN9S3RBA3,Anna Montes,katherinealvarez@example.org,SPOT,SGX,Spotify
HTZMD472999EVAATG,Maria Mckay,vsmith@example.com,SPOT,KLSE,Spotify
HTZMD472999EVAATG,Maria Mckay,vsmith@example.com,SPOT,NASDAQ,Spotify
HTZMD472999EVAATG,Maria Mckay,vsmith@example.com,SPOT,NYSE,Spotify
TZTH9NRZ43YCZYKKD,Diana Mcpherson,lawrencebarry@example.net,SPOT,KLSE,Spotify
TZTH9NRZ43YCZYKKD,Diana Mcpherson,lawrencebarry@example.net,SPOT,NASDAQ,Spotify
07Y6V9Z6XSU79LN6G,Kevin Williams,egarcia@example.com,SPOT,KLSE,Spotify
07Y6V9Z6XSU79LN6G,Kevin Williams,egarcia@example.com,SPOT,NASDAQ,Spotify
07Y6V9Z6XSU79LN6G,Kevin Williams,egarcia@example.com,SPOT,NYSE,Spotify
07Y6V9Z6XSU79LN6G,Kevin Williams,egarcia@example.com,SPOT,SGX,Spotify
07Y6V9Z6XSU79LN6G,Kevin Williams,egarcia@example.com,SPOT,HKEX,Spotify
AXNEW1709VFD96SD8,Justin Olson,ruizdana@example.com,SPOT,KLSE,Spotify
AXNEW1709VFD96SD8,Justin Olson,ruizdana@example.com,SPOT,NASDAQ,Spotify
AXNEW1709VFD96SD8,Justin Olson,ruizdana@example.com,SPOT,NYSE,Spotify
AJZ1RNS86R4AN2BXK,David Mitchell,johnsanchez@example.net,SPOT,KLSE,Spotify
AJZ1RNS86R4AN2BXK,David Mitchell,johnsanchez@example.net,SPOT,NASDAQ,Spotify
AJZ1RNS86R4AN2BXK,David Mitchell,johnsanchez@example.net,SPOT,NYSE,Spotify
AJZ1RNS86R4AN2BXK,David Mitchell,johnsanchez@example.net,SPOT,SGX,Spotify
AJZ1RNS86R4AN2BXK,David Mitchell,johnsanchez@example.net,SPOT,HKEX,Spotify
AJZ1RNS86R4AN2BXK,David Mitchell,johnsanchez@example.net,SPOT,LSE,Spotify
AJZ1RNS86R4AN2BXK,David Mitchell,johnsanchez@example.net,SPOT,TSE,Spotify
R6SRW6WY0TL4PNVU6,Joseph Stanley,jerry61@example.com,SPOT,KLSE,Spotify
R6SRW6WY0TL4PNVU6,Joseph Stanley,jerry61@example.com,SPOT,NASDAQ,Spotify
R6SRW6WY0TL4PNVU6,Joseph Stanley,jerry61@example.com,SPOT,NYSE,Spotify
R6SRW6WY0TL4PNVU6,Joseph Stanley,jerry61@example.com,SPOT,SGX,Spotify
R6SRW6WY0TL4PNVU6,Joseph Stanley,jerry61@example.com,SPOT,HKEX,Spotify
R6SRW6WY0TL4PNVU6,Joseph Stanley,jerry61@example.com,SPOT,LSE,Spotify
R6SRW6WY0TL4PNVU6,Joseph Stanley,jerry61@example.com,SPOT,TSE,Spotify
FW78KB3K9UUWDKYVA,Joel Gray,xzamora@example.org,SPOT,KLSE,Spotify
FW78KB3K9UUWDKYVA,Joel Gray,xzamora@example.org,SPOT,NASDAQ,Spotify
FW78KB3K9UUWDKYVA,Joel Gray,xzamora@example.org,SPOT,NYSE,Spotify
FW78KB3K9UUWDKYVA,Joel Gray,xzamora@example.org,SPOT,SGX,Spotify
FW78KB3K9UUWDKYVA,Joel Gray,xzamora@example.org,SPOT,HKEX,Spotify
FW78KB3K9UUWDKYVA,Joel Gray,xzamora@example.org,SPOT,LSE,Spotify
FW78KB3K9UUWDKYVA,Joel Gray,xzamora@example.org,SPOT,TSE,Spotify
FW78KB3K9UUWDKYVA,Joel Gray,xzamora@example.org,SPOT,SSE,Spotify
FW78KB3K9UUWDKYVA,Joel Gray,xzamora@example.org,SPOT,BSE,Spotify
FTVRU0G005XFV593F,Sheila Schultz,zachary52@example.com,SPOT,KLSE,Spotify
FTVRU0G005XFV593F,Sheila Schultz,zachary52@example.com,SPOT,NASDAQ,Spotify
FTVRU0G005XFV593F,Sheila Schultz,zachary52@example.com,SPOT,NYSE,Spotify
FTVRU0G005XFV593F,Sheila Schultz,zachary52@example.com,SPOT,SGX,Spotify
FTVRU0G005XFV593F,Sheila Schultz,zachary52@example.com,SPOT,HKEX,Spotify
FTVRU0G005XFV593F,Sheila Schultz,zachary52@example.com,SPOT,LSE,Spotify
FTVRU0G005XFV593F,Sheila Schultz,zachary52@example.com,SPOT,TSE,Spotify
Z0MLSCYG39YUU62BN,Antonio Williams,nwagner@example.org,SPOT,KLSE,Spotify
Z0MLSCYG39YUU62BN,Antonio Williams,nwagner@example.org,SPOT,NASDAQ,Spotify
Z0MLSCYG39YUU62BN,Antonio Williams,nwagner@example.org,SPOT,NYSE,Spotify
Z0MLSCYG39YUU62BN,Antonio Williams,nwagner@example.org,SPOT,SGX,Spotify
Z0MLSCYG39YUU62BN,Antonio Williams,nwagner@example.org,SPOT,HKEX,Spotify
Z0MLSCYG39YUU62BN,Antonio Williams,nwagner@example.org,SPOT,LSE,Spotify
Z0MLSCYG39YUU62BN,Antonio Williams,nwagner@example.org,SPOT,TSE,Spotify
Z0MLSCYG39YUU62BN,Antonio Williams,nwagner@example.org,SPOT,SSE,Spotify
Z0MLSCYG39YUU62BN,Antonio Williams,nwagner@example.org,SPOT,BSE,Spotify
SUBGZDGA5N8NH4LSD,Aimee Murphy,patrick40@example.com,SPOT,KLSE,Spotify
SUBGZDGA5N8NH4LSD,Aimee Murphy,patrick40@example.com,SPOT,NASDAQ,Spotify
SUBGZDGA5N8NH4LSD,Aimee Murphy,patrick40@example.com,SPOT,NYSE,Spotify
SUBGZDGA5N8NH4LSD,Aimee Murphy,patrick40@example.com,SPOT,SGX,Spotify
SUBGZDGA5N8NH4LSD,Aimee Murphy,patrick40@example.com,SPOT,HKEX,Spotify
SUBGZDGA5N8NH4LSD,Aimee Murphy,patrick40@example.com,SPOT,LSE,Spotify
SUBGZDGA5N8NH4LSD,Aimee Murphy,patrick40@example.com,SPOT,TSE,Spotify
SUBGZDGA5N8NH4LSD,Aimee Murphy,patrick40@example.com,SPOT,SSE,Spotify
SUBGZDGA5N8NH4LSD,Aimee Murphy,patrick40@example.com,SPOT,BSE,Spotify
LFNXBY4W2RLPM3EYR,Michael Palmer,marciastone@example.com,SPOT,KLSE,Spotify
LFNXBY4W2RLPM3EYR,Michael Palmer,marciastone@example.com,SPOT,NASDAQ,Spotify
EGG3KW8Y91P308WSP,Jermaine Morris,xgonzalez@example.org,SPOT,KLSE,Spotify
EGG3KW8Y91P308WSP,Jermaine Morris,xgonzalez@example.org,SPOT,NASDAQ,Spotify
