id,name,email,dept,system,dept_name
CU6CFKLD4GJ7ZVNH0,Rachel Horn,roconnor@example.net,SQ,KLSE,Square
CU6CFKLD4GJ7ZVNH0,Rachel Horn,roconnor@example.net,SQ,NASDAQ,Square
CU6CFKLD4GJ7ZVNH0,Rachel Horn,roconnor@example.net,SQ,NYSE,Square
CU6CFKLD4GJ7ZVNH0,Rachel Horn,roconnor@example.net,SQ,SGX,Square
CU6CFKLD4GJ7ZVNH0,Rachel Horn,roconnor@example.net,SQ,HKEX,Square
CU6CFKLD4GJ7ZVNH0,Rachel Horn,roconnor@example.net,SQ,LSE,Square
W618WXZ15K1LCP7PE,Julia Weber,jefferychang@example.net,SQ,KLSE,Square
W618WXZ15K1LCP7PE,Julia Weber,jefferychang@example.net,SQ,NASDAQ,Square
W618WXZ15K1LCP7PE,Julia Weber,jefferychang@example.net,SQ,NYSE,Square
W618WXZ15K1LCP7PE,Julia Weber,jefferychang@example.net,SQ,SGX,Square
W618WXZ15K1LCP7PE,Julia Weber,jefferychang@example.net,SQ,HKEX,Square
N570WDL47NL4GFWUE,Katherine Howard,eileenscott@example.com,SQ,KLSE,Square
N570WDL47NL4GFWUE,Katherine Howard,eileenscott@example.com,SQ,NASDAQ,Square
N570WDL47NL4GFWUE,Katherine Howard,eileenscott@example.com,SQ,NYSE,Square
N570WDL47NL4GFWUE,Katherine Howard,eileenscott@example.com,SQ,SGX,Square
N570WDL47NL4GFWUE,Katherine Howard,eileenscott@example.com,SQ,HKEX,Square
N570WDL47NL4GFWUE,Katherine Howard,eileenscott@example.com,SQ,LSE,Square
N570WDL47NL4GFWUE,Katherine Howard,eileenscott@example.com,SQ,TSE,Square
N570WDL47NL4GFWUE,Katherine Howard,eileenscott@example.com,SQ,SSE,Square
KTFB59XA2EWS9SR8A,Michelle Terrell,matthew48@example.com,SQ,KLSE,Square
GBHHV7MV9X3A14SBX,Kara Martinez,cyang@example.com,SQ,KLSE,Square
GBHHV7MV9X3A14SBX,Kara Martinez,cyang@example.com,SQ,NASDAQ,Square
GBHHV7MV9X3A14SBX,Kara Martinez,cyang@example.com,SQ,NYSE,Square
GBHHV7MV9X3A14SBX,Kara Martinez,cyang@example.com,SQ,SGX,Square
GBHHV7MV9X3A14SBX,Kara Martinez,cyang@example.com,SQ,HKEX,Square
GBHHV7MV9X3A14SBX,Kara Martinez,cyang@example.com,SQ,LSE,Square
GBHHV7MV9X3A14SBX,Kara Martinez,cyang@example.com,SQ,TSE,Square
GBHHV7MV9X3A14SBX,Kara Martinez,cyang@example.com,SQ,SSE,Square
GBHHV7MV9X3A14SBX,Kara Martinez,cyang@example.com,SQ,BSE,Square
7PHWGR0A3MSH0RWU3,Timothy Stevens,ewingkelly@example.com,SQ,KLSE,Square
7PHWGR0A3MSH0RWU3,Timothy Stevens,ewingkelly@example.com,SQ,NASDAQ,Square
