id,name,email,dept,system,dept_name
4M2Z1Y5F6AT7PD9Z1,Martha Shaw,martinezjames@example.net,TWTR,KLSE,Twitter
4M2Z1Y5F6AT7PD9Z1,Martha Shaw,martinezjames@example.net,TWTR,NASDAQ,Twitter
J7YUHS2H1L6KK3CS8,Michelle Jackson,pettybarbara@example.org,TWTR,KLSE,Twitter
J7YUHS2H1L6KK3CS8,Michelle Jackson,pettybarbara@example.org,TWTR,NASDAQ,Twitter
J7YUHS2H1L6KK3CS8,Michelle Jackson,pettybarbara@example.org,TWTR,NYSE,Twitter
J7YUHS2H1L6KK3CS8,Michelle Jackson,pettybarbara@example.org,TWTR,SGX,Twitter
J7YUHS2H1L6KK3CS8,Michelle Jackson,pettybarbara@example.org,TWTR,HKEX,Twitter
RSF6Y5VV81REAMGKJ,Steven Gilbert,jordanrandall@example.net,TWTR,KLSE,Twitter
RSF6Y5VV81REAMGKJ,Steven Gilbert,jordanrandall@example.net,TWTR,NASDAQ,Twitter
RSF6Y5VV81REAMGKJ,Steven Gilbert,jordanrandall@example.net,TWTR,NYSE,Twitter
RSF6Y5VV81REAMGKJ,Steven Gilbert,jordanrandall@example.net,TWTR,SGX,Twitter
RSF6Y5VV81REAMGKJ,Steven Gilbert,jordanrandall@example.net,TWTR,HKEX,Twitter
1L56BXW039JEUYWPP,Mario Acosta,suttonsherry@example.org,TWTR,KLSE,Twitter
1L56BXW039JEUYWPP,Mario Acosta,suttonsherry@example.org,TWTR,NASDAQ,Twitter
1L56BXW039JEUYWPP,Mario Acosta,suttonsherry@example.org,TWTR,NYSE,Twitter
1L56BXW039JEUYWPP,Mario Acosta,suttonsherry@example.org,TWTR,SGX,Twitter
1L56BXW039JEUYWPP,Mario Acosta,suttonsherry@example.org,TWTR,HKEX,Twitter
1L56BXW039JEUYWPP,Mario Acosta,suttonsherry@example.org,TWTR,LSE,Twitter
1L56BXW039JEUYWPP,Mario Acosta,suttonsherry@example.org,TWTR,TSE,Twitter
1L56BXW039JEUYWPP,Mario Acosta,suttonsherry@example.org,TWTR,SSE,Twitter
1L56BXW039JEUYWPP,Mario Acosta,suttonsherry@example.org,TWTR,BSE,Twitter
F036ZJ4T509NYZTD2,Kayla Shah,fcopeland@example.org,TWTR,KLSE,Twitter
F036ZJ4T509NYZTD2,Kayla Shah,fcopeland@example.org,TWTR,NASDAQ,Twitter
F036ZJ4T509NYZTD2,Kayla Shah,fcopeland@example.org,TWTR,NYSE,Twitter
F036ZJ4T509NYZTD2,Kayla Shah,fcopeland@example.org,TWTR,SGX,Twitter
F036ZJ4T509NYZTD2,Kayla Shah,fcopeland@example.org,TWTR,HKEX,Twitter
ALS0S3X854CJZSD5E,Jennifer Hendricks,perezjennifer@example.org,TWTR,KLSE,Twitter
ALS0S3X854CJZSD5E,Jennifer Hendricks,perezjennifer@example.org,TWTR,NASDAQ,Twitter
ALS0S3X854CJZSD5E,Jennifer Hendricks,perezjennifer@example.org,TWTR,NYSE,Twitter
ALS0S3X854CJZSD5E,Jennifer Hendricks,perezjennifer@example.org,TWTR,SGX,Twitter
ALS0S3X854CJZSD5E,Jennifer Hendricks,perezjennifer@example.org,TWTR,HKEX,Twitter
ALS0S3X854CJZSD5E,Jennifer Hendricks,perezjennifer@example.org,TWTR,LSE,Twitter
ALS0S3X854CJZSD5E,Jennifer Hendricks,perezjennifer@example.org,TWTR,TSE,Twitter
EXGSL5FD8N616R5T9,John Berg,colemanseth@example.net,TWTR,KLSE,Twitter
EXGSL5FD8N616R5T9,John Berg,colemanseth@example.net,TWTR,NASDAQ,Twitter
EXGSL5FD8N616R5T9,John Berg,colemanseth@example.net,TWTR,NYSE,Twitter
EXGSL5FD8N616R5T9,John Berg,colemanseth@example.net,TWTR,SGX,Twitter
83F7RDP1XY2R0BSY9,James Hughes,jwerner@example.org,TWTR,KLSE,Twitter
83F7RDP1XY2R0BSY9,James Hughes,jwerner@example.org,TWTR,NASDAQ,Twitter
83F7RDP1XY2R0BSY9,James Hughes,jwerner@example.org,TWTR,NYSE,Twitter
83F7RDP1XY2R0BSY9,James Hughes,jwerner@example.org,TWTR,SGX,Twitter
83F7RDP1XY2R0BSY9,James Hughes,jwerner@example.org,TWTR,HKEX,Twitter
YB2GSTP33XDAGZKVF,Robert Weber,jacobgross@example.net,TWTR,KLSE,Twitter
YB2GSTP33XDAGZKVF,Robert Weber,jacobgross@example.net,TWTR,NASDAQ,Twitter
YB2GSTP33XDAGZKVF,Robert Weber,jacobgross@example.net,TWTR,NYSE,Twitter
YB2GSTP33XDAGZKVF,Robert Weber,jacobgross@example.net,TWTR,SGX,Twitter
YB2GSTP33XDAGZKVF,Robert Weber,jacobgross@example.net,TWTR,HKEX,Twitter
YB2GSTP33XDAGZKVF,Robert Weber,jacobgross@example.net,TWTR,LSE,Twitter
3LR8FMM34YCBCXH24,Jeff Ballard,christophermonroe@example.com,TWTR,KLSE,Twitter
3LR8FMM34YCBCXH24,Jeff Ballard,christophermonroe@example.com,TWTR,NASDAQ,Twitter
3LR8FMM34YCBCXH24,Jeff Ballard,christophermonroe@example.com,TWTR,NYSE,Twitter
3LR8FMM34YCBCXH24,Jeff Ballard,christophermonroe@example.com,TWTR,SGX,Twitter
3LR8FMM34YCBCXH24,Jeff Ballard,christophermonroe@example.com,TWTR,HKEX,Twitter
3LR8FMM34YCBCXH24,Jeff Ballard,christophermonroe@example.com,TWTR,LSE,Twitter
